131l;kör;alak;kerek;gyűrű;négyzet;360
131p;póz;fotó;modell;kép;beállít;művészi
131k;puszi;csók;arc;smár;ad;lány
131s;üt;csap;kéz;behúz;ver;pofon
132l;kávé;tej;főz;koffein;reggel;tea
132p;sarlatán;orvos;kuruzsló;gyógyít;diploma;beteg
132k;fésű;haj;kefe;igazít;fog;fej
132s;tiltakozás;éhségsztrájk;demonstráció;ellen;háború;tüntetés
133l;csokoládé;kakaó;édesség;barna;ét;tej
133p;pozitív;negatív;plusz;jó;lelet;töltés
133k;tapad;tart;ragad;szoros;leszed;feszül
133s;szörp;gyümölcs;édes;cukor;higít;ital
134l;rakott krumpli;hús;krumpli;étel;tojás;sütő
134p;kérdőjel;írásjel;válasz;felkiáltójel;mondat;vége
134k;kíváncsi;érdeklődik;hamar;firtat;megöregszik;kérdez
134s;pöfékel;mozdony;ereget;pipa;füst;cigaretta
135l;óvadék;börtön;pénz;fizet;kienged;letét
135p;börtön;bűntetés;rács;zár;cella;fogság
135k;szelet;vág;kenyér;hús;torta;pizza
135s;toll;madár;pihe;ceruza;ír;tinta
136l;Daredevil;tűz;kaszkadőr;veszélyes;félelem;őrült
136p;kávéfőző;presszó;gőzöl;forró;reggel;készít
136k;pakli;oszt;kártya;kever;játszik;csomag
136s;lila;szín;kék;ibolya;Újpest;levendula
137l;nyers;olaj;modor;közönséges;főz;hús
137p;torta;dobos;sütemény;desszert;krém;születésnap
137k;vásárló;fizet;bolt;megvesz;elad;ügyfél
137s;folt;ejt;tisztít;paca;varr;javít
138l;vattacukor;vidámpark;hurkapálca;rózsaszín;ragacsos;édes
138p;recept;főz;szakácskönyv;gyógyszer;étel;hozzávalók
138k;kritikus;film;megítél;bírál;színház;vélemény
138s;szivárvány;fölött;szín;kincs;ég;nap
139l;csúcs;tetőpont;magas;skála;hegy;orom
139p;omlett;tojás;rántotta;töltelék;süt;lepény
139k;zárda;apáca;iskola;vallás;otthon;nővér
139s;tájkép;kilátás;csodálatos;látszik;fest;változik
140l;pamut;fehér;ruha;gyapot;anyag;szövet
140p;barbecue;grill;parti;szén;süt;kert
140k;cowboy;kalap;ló;nyugat;lasszó;puska
140s;gyümölcskehely;eper;édes;krém;pohár;desszert
141l;búvár;víz;hajó;tenger;oxigén;pipa
141p;pizza;olasz;paradicsom;feltét;sajt;futár
141k;galamb;béke;madár;fehér;posta;szerelmesek
141s;csavarhúzó;szerszám;csillag;szerel;fordít;menet
142l;álom;lidércnyomás;alszik;éjjel;ágy;vágy
142p;regény;könyv;olvas;ponyva;író;kép
142k;gyémánt;gyűrű;karát;ékszer;eljegyzés;kemény
142s;piknik;étel;kosár;eszik;szabadban;romantikus
143l;egyszerű;összetett;könnyű;nehéz;bonyolult;ember
143p;kívánság;sóvárog;aranyhal;három;vágy;kérés
143k;hering;hal;óceán;füstölt;tenger;raj
143s;gödröcske;arc;mosoly;orca;aranyos;kisbaba
144l;lángos;strand;olaj;sajt;tejföl;fokhagyma
144p;válás;férj;házasság;szakítás;feleség;vége
144k;majonéz;saláta;öntet;olaj;ecet;tojás
144s;újszülött;csecsemő;sír;gyermek;terhes;baba
145l;sziréna;tűz;rendőr;mentő;vészhelyzet;zaj
145p;Lady Gaga;énekes;Poker Face;amerikai;divat;Monster
145k;félénk;bátortalan;szende;szerény;csendes;mulya
145s;napló;titkos;ír;feljegyez;Anna Frank;könyv
146l;hóember;hideg;répa;épít;tél;olvad
146p;úszógumi;nadrág;derék;zsír;bőr;pancsol
146k;habcsók;tojás;desszert;fehér;sütemény;citrom
146s;Minestrone leves;tészta;zöldség;tányér;étel;olasz
147l;meglepetés;parti;születésnap;váratlan;ajándék;ad
147p;Eiffel-torony;Párizs;jelkép;magas;vas;szerkezet
147k;térerő;hálózat;telefon;elérhető;kapcsol;torony
147s;pikkely;hal;bőr;szaru;pénz;kígyó
148l;bors;tüsszent;csíp;fűszer;erős;fehér
148p;ujjlenyomat;kéz;azonosít;bizonyíték;bűn;nyilvántartás
148k;felülés;has;edz;gyakorlat;izom;kocka
148s;úszik;lebeg;süllyed;medence;víz;felszín
149l;cipőfűző;beköt;zsinór;kiold;felhúz;csomó
149p;púder;alapozó;smink;bőr;arc;szépség
149k;tündér;kicsi;jó;kívánság;teljesít;szárny
149s;szemfog;ragadozó;harap;Drakula;vámpír;farkas
150l;polyás;gyerek;kicsi;baba;újszülött;csecsemő
150p;hírnév;celeb;sztár;ismer;dicsőség;vagyon
150k;eper;gyümölcs;piros;szamóca;tavasz;lekvár
150s;ujj;gyűrű;mutató;kéz;hüvelyk;fog
151l;óriás;nagy;hatalmas;ogre;Gulliver;törpe
151p;por;kosz;szív;töröl;tisztít;bútor
151k;jacht;hajó;luxus;gazdag;vitorlás;tenger
151s;robbanás;lökéshullám;detonáció;gáz;dinamit;bomba
152l;fog;tömés;orrvos;száj;kefe;fehér
152p;tök;növény;főzelék;inda;dinnye;kártya
152k;színház;Nemzeti;játszik;művész;függöny;Broadway
152s;fantázia;képzelet;álom;gyermek;sci-fi;valóság
153l;szomjúság;iszik;száraz;víz;enyhít;folyadék
153p;modell;vasút;autó;más;méret;manöken
153k;stressz;ideges;feszült;nyomás;aggódik;munka
153s;torna;gimnasztika;egészség;futás;gerenda;fitt
154l;torpedó;tengeralattjáró;hajó;rakéta;víz;robban
154p;lecsó;paprika;paradicsom;étel;rizs;tojás
154k;tornádó;hurrikán;forgószél;tölcsér;vihar;ciklon
154s;vezet;autó;út;jogosítvány;jármű;áram
155l;pocak;has;fáj;gyomor;köldök;közép
155p;gin;alkohol;ital;tonik;tisztán;boróka
155k;hulladék;kosár;kidob;szemét;kuka;szelektív
155s;gól;futball;pont;labda;háló;kapu
156l;törülköző;száraz;nedves;zuhany;fürdőszoba;strand
156p;galéria;művészet;múzeum;kép;bemutat;festmény
156k;emelet;lépcső;szint;ház;szoba;épület
156s;szellem;lélek;kastély;lepedő;kísértet;halott
157l;darázs;rovar;fullánk;csík;repül;méh
157p;Vénusz;szerelem;istennő;bolygó;légycsapó;szépség
157k;trófea;kupa;díj;vadász;nyer;sport
157s;kebab;döner;nyárs;rizs;eszik;gyros
158l;ügyetlen;elejt;béna;kéz;hiba;esetlen
158p;paradicsom;piros;Ádám;lecsó;ketchup;szósz
158k;nyomornegyed;gettó;város;szegény;él;ház
158s;játék;kártya;gyermek;társas;videó;szórakozás
159l;erdő;fa;tűz;kivág;nő;vad
159p;vámpír;szív;Drakula;vér;fog;koporsó
159k;rakomány;teher;hajó;kamion;szállít;fuvar
159s;játékvezető;bíró;futball;sport;kiállítás;les
224l;spárga;növény;hajtás;kötöz;vajas;eszik
224p;fogkrém;paszta;reggel;este;friss;lehelet
224k;szamuráj;japán;kard;harcos;katona;becsület
224s;csűr;épület;fa;udvar;tárol;tanya
225l;szandál;cipő;láb;ujj;zokni;nyár
225p;Big Ben;óra;torony;London;parlament;harang
225k;lábtörlő;bejárat;cipő;sár;ház;tiszta
225s;könyv;kötés;oldal;regény;telefon;olvas
226l;ébresztőóra;csörög;reggel;beállít;szundi;hangos
226p;ács;fa;épít;tető;szerszám;csapolás
226k;mérleg;piac;súly;patika;kilogramm;csillagjegy
226s;vászon;szövet;festmény;kép;vetít;film
227l;olívaolaj;főz;önt;arany;sajtol;szűz
227p;gyertya;kanóc;viasz;láng;ég;fény
227k;nyereg;ló;kengyel;bőr;ül;bicikli
227s;szivar;füst;Havanna;drága;illat;dohány
228l;borotvahab;arc;penge;beken;szakáll;fehér
228p;csörgődob;ráz;ritmus;zene;hangszer;üt
228k;napernyő;fény;árnyék;strand;tengerpart;felállít
228s;hentes;hús;kés;vág;bolt;darabol
229l;szimatol;szag;illat;ott;kutya;szippant
229p;állatorvos;hús;kutya;beteg;farm;műtét
229k;süllyed;úszik;hajó;víz;mély;mentőcsónak
229s;kenu;jhajó;evező;víz;folyó;kajak
230l;zsilip;űrhajó;gát;ereszt;nyit;szabályoz
230p;borbély;haj;olló;borotvál;vág;fej
230k;sznob;jobb;divat;orr;beképzelt;felső
230s;tinta;ír;toll;filc;paca;tartó
231l;füst;érzékelő;tűz;pipa;cigaretta;ég
231p;detektív;rendőrség;bűn;nyom;Sherlock Holmes;felderít
231k;gördeszka;gurul;kerék;egyensúly;utca;trükk
